Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2019-05-22,7420.66,0.0,0.0,0.0,0.0
2019-05-21,7451.02,0.0,0.0,0.0,0.0
2019-05-20,7376.7,0.0,0.0,0.0,0.0
2019-05-17,7503.68,0.0,0.0,0.0,0.0
2019-05-16,7580.14,0.0,0.0,0.0,0.0
2019-05-15,7503.25,0.0,0.0,0.0,0.0
2019-05-14,7401.88,0.0,0.0,0.0,0.0
2019-05-13,7324.13,0.0,0.0,0.0,0.0
2019-05-10,7586.53,0.0,0.0,0.0,0.0
2019-05-09,7582.75,0.0,0.0,0.0,0.0
2019-05-08,7617.55,0.0,0.0,0.0,0.0
2019-05-07,7640.15,0.0,0.0,0.0,0.0
2019-05-06,7794.09,0.0,0.0,0.0,0.0
2019-05-03,7845.73,0.0,0.0,0.0,0.0
2019-05-02,7724.06,0.0,0.0,0.0,0.0
2019-05-01,7751.85,0.0,0.0,0.0,0.0
2019-04-30,7781.46,0.0,0.0,0.0,0.0
2019-04-29,7839.04,0.0,0.0,0.0,0.0
2019-04-26,7826.68,0.0,0.0,0.0,0.0
2019-04-25,7816.92,0.0,0.0,0.0,0.0
2019-04-24,7784.41,0.0,0.0,0.0,0.0
2019-04-23,7810.71,0.0,0.0,0.0,0.0
2019-04-22,7713.49,0.0,0.0,0.0,0.0
2019-04-18,7689.72,0.0,0.0,0.0,0.0
2019-04-17,7680.72,0.0,0.0,0.0,0.0
2019-04-16,7654.73,0.0,0.0,0.0,0.0
2019-04-15,7629.12,0.0,0.0,0.0,0.0
2019-04-12,7628.15,0.0,0.0,0.0,0.0
2019-04-11,7594.89,0.0,0.0,0.0,0.0
2019-04-10,7611.49,0.0,0.0,0.0,0.0
2019-04-09,7568.49,0.0,0.0,0.0,0.0
2019-04-08,7599.74,0.0,0.0,0.0,0.0
2019-04-05,7578.84,0.0,0.0,0.0,0.0
2019-04-04,7540.57,0.0,0.0,0.0,0.0
2019-04-03,7544.97,0.0,0.0,0.0,0.0
2019-04-02,7499.64,0.0,0.0,0.0,0.0
2019-04-01,7478.42,0.0,0.0,0.0,0.0
2019-03-29,7378.77,0.0,0.0,0.0,0.0
2019-03-28,7320.47,0.0,0.0,0.0,0.0
2019-03-27,7308.19,0.0,0.0,0.0,0.0
2019-03-26,7351.15,0.0,0.0,0.0,0.0
2019-03-25,7316.96,0.0,0.0,0.0,0.0
2019-03-22,7326.06,0.0,0.0,0.0,0.0
2019-03-21,7493.27,0.0,0.0,0.0,0.0
2019-03-20,7380.75,0.0,0.0,0.0,0.0
2019-03-19,7349.28,0.0,0.0,0.0,0.0
2019-03-18,7326.28,0.0,0.0,0.0,0.0
2019-03-15,7306.99,0.0,0.0,0.0,0.0
2019-03-14,7243.01,0.0,0.0,0.0,0.0
2019-03-13,7256.98,0.0,0.0,0.0,0.0
2019-03-12,7201.28,0.0,0.0,0.0,0.0
2019-03-11,7164.02,0.0,0.0,0.0,0.0
2019-03-08,7015.69,0.0,0.0,0.0,0.0
2019-03-07,7026.88,0.0,0.0,0.0,0.0
2019-03-06,7112.47,0.0,0.0,0.0,0.0
2019-03-05,7156.79,0.0,0.0,0.0,0.0
2019-03-04,7150.83,0.0,0.0,0.0,0.0
2019-03-01,7151.57,0.0,0.0,0.0,0.0
2019-02-28,7097.53,0.0,0.0,0.0,0.0
2019-02-27,7117.0,0.0,0.0,0.0,0.0
2019-02-26,7123.22,0.0,0.0,0.0,0.0
2019-02-25,7115.43,0.0,0.0,0.0,0.0
2019-02-22,7090.63,0.0,0.0,0.0,0.0
2019-02-21,7035.16,0.0,0.0,0.0,0.0
2019-02-20,7062.34,0.0,0.0,0.0,0.0
2019-02-19,7066.61,0.0,0.0,0.0,0.0
2019-02-15,7055.18,0.0,0.0,0.0,0.0
2019-02-14,7022.42,0.0,0.0,0.0,0.0
2019-02-13,7015.88,0.0,0.0,0.0,0.0
2019-02-12,7014.67,0.0,0.0,0.0,0.0
2019-02-11,6909.18,0.0,0.0,0.0,0.0
2019-02-08,6913.13,0.0,0.0,0.0,0.0
2019-02-07,6904.98,0.0,0.0,0.0,0.0
2019-02-06,6997.62,0.0,0.0,0.0,0.0
2019-02-05,7023.52,0.0,0.0,0.0,0.0
2019-02-04,6959.96,0.0,0.0,0.0,0.0
2019-02-01,6875.52,0.0,0.0,0.0,0.0
2019-01-31,6906.84,0.0,0.0,0.0,0.0
2019-01-30,6807.91,0.0,0.0,0.0,0.0
2019-01-29,6632.79,0.0,0.0,0.0,0.0
2019-01-28,6697.09,0.0,0.0,0.0,0.0
2019-01-25,6787.37,0.0,0.0,0.0,0.0
2019-01-24,6702.55,0.0,0.0,0.0,0.0
2019-01-23,6658.76,0.0,0.0,0.0,0.0
2019-01-22,6646.81,0.0,0.0,0.0,0.0
2019-01-18,6784.61,0.0,0.0,0.0,0.0
2019-01-17,6718.45,0.0,0.0,0.0,0.0
2019-01-16,6668.56,0.0,0.0,0.0,0.0
2019-01-15,6669.64,0.0,0.0,0.0,0.0
2019-01-14,6541.04,0.0,0.0,0.0,0.0
2019-01-11,6601.4,0.0,0.0,0.0,0.0
2019-01-10,6620.94,0.0,0.0,0.0,0.0
2019-01-09,6600.69,0.0,0.0,0.0,0.0
2019-01-08,6551.85,0.0,0.0,0.0,0.0
2019-01-07,6488.25,0.0,0.0,0.0,0.0
2019-01-04,6422.67,0.0,0.0,0.0,0.0
2019-01-03,6147.13,0.0,0.0,0.0,0.0
2019-01-02,6360.87,0.0,0.0,0.0,0.0
2018-12-31,6329.96,0.0,0.0,0.0,0.0
2018-12-28,6285.27,0.0,0.0,0.0,0.0
2018-12-27,6288.3,0.0,0.0,0.0,0.0
2018-12-26,6262.77,0.0,0.0,0.0,0.0
2018-12-24,5899.35,0.0,0.0,0.0,0.0
2018-12-21,6046.56,0.0,0.0,0.0,0.0
2018-12-20,6243.19,0.0,0.0,0.0,0.0
2018-12-19,6342.97,0.0,0.0,0.0,0.0
2018-12-18,6491.52,0.0,0.0,0.0,0.0
2018-12-17,6448.39,0.0,0.0,0.0,0.0
2018-12-14,6594.96,0.0,0.0,0.0,0.0
2018-12-13,6767.97,0.0,0.0,0.0,0.0
2018-12-12,6763.96,0.0,0.0,0.0,0.0
2018-12-11,6704.24,0.0,0.0,0.0,0.0
2018-12-10,6682.74,0.0,0.0,0.0,0.0
